Data_Hora,Estacao,Precipitacao,TempBulboSeco,TempBulboUmido,TempMaxima,TempMinima,UmidadeRelativa,PressaoAtmEstacao,DirecaoVento,VelocidadeVento,Insolacao
1961-01-01 00:00:00,83781,,,,24.9,,,,,,2.1
1961-01-01 12:00:00,83781,0.0,21.7,20.2,,18.5,88.0,919.5,32.0,5.7,
1961-01-01 18:00:00,83781,,24.8,21.5,,,74.0,917.6,27.0,6.7,
1961-02-01 00:00:00,83781,,20.5,20.2,22.7,,97.0,919.2,32.0,2.6,0.1
1961-02-01 12:00:00,83781,5.0,21.6,20.6,,19.7,91.0,918.4,32.0,6.2,
1961-02-01 18:00:00,83781,,20.9,20.6,,,97.0,917.4,23.0,1.8,
1961-03-01 00:00:00,83781,,20.1,20.0,28.5,,99.0,918.2,27.0,2.1,9.5
1961-03-01 12:00:00,83781,44.9,21.4,19.4,,17.8,83.0,919.5,32.0,2.1,
1961-03-01 18:00:00,83781,,28.0,21.4,,,55.0,917.6,27.0,4.1,
1961-04-01 00:00:00,83781,,20.4,19.2,27.2,,89.0,919.5,27.0,3.1,3.7
1961-04-01 12:00:00,83781,0.0,21.3,19.9,,18.7,87.0,919.8,0.0,0.0,
1961-04-01 18:00:00,83781,,25.2,22.4,,,79.0,917.2,18.0,7.2,
1961-05-01 00:00:00,83781,,20.7,20.0,25.8,,94.0,920.0,14.0,3.6,3.6
1961-05-01 12:00:00,83781,7.5,21.3,19.8,,18.0,87.0,921.2,0.0,0.0,
1961-05-01 18:00:00,83781,,24.2,21.2,,,77.0,919.1,18.0,11.3,
1961-06-01 00:00:00,83781,,20.7,19.6,26.9,,90.0,920.6,14.0,3.1,7.3
1961-06-01 12:00:00,83781,0.0,23.8,21.3,,19.1,80.0,919.2,36.0,8.2,
1961-06-01 18:00:00,83781,,26.0,21.7,,,68.0,917.2,32.0,9.3,
1961-07-01 00:00:00,83781,,22.1,20.7,22.2,,88.0,917.8,32.0,3.1,0.0
1961-07-01 12:00:00,83781,6.4,19.6,19.1,,18.7,96.0,921.8,18.0,2.1,
1961-07-01 18:00:00,83781,,20.5,18.7,,,85.0,921.4,14.0,4.1,
1961-08-01 00:00:00,83781,,18.7,18.5,21.7,,98.0,923.0,14.0,1.5,0.0
1961-08-01 12:00:00,83781,2.6,20.2,19.2,,18.0,91.0,923.5,14.0,3.6,
1961-08-01 18:00:00,83781,,20.8,19.6,,,89.0,922.3,14.0,3.1,
1961-09-01 00:00:00,83781,,18.9,18.6,25.9,,97.0,923.8,14.0,1.0,8.0
